Task: Inpaint;
dataset: Celeba.

Pth will be saved to: ../../Pths/Inpaint/prefix/pretrain/64_128_6_2.pth


Image will be saved to: ../../Images/Inpaint/prefix/pretrain/64_128_6_2.eps

Generating Net...
Before PSNR: 14.849733929576685, 	 After PSNR: 8.088624981537288
Before PSNR: 14.82721145106421, 	 After PSNR: 8.239817553762686
Before PSNR: 14.759963649498495, 	 After PSNR: 8.404116356546275
Before PSNR: 14.64861073540352, 	 After PSNR: 8.29331838355117
Done.
Training Begins.
Now at epoch [1/48].
Paras have been created. Loaded.
The number of paras in the network is 11907712.
Test before training...
Inpaint local size 64, image size 128. Process: [5904/30000 (4.92%)]	Loss: 0.129291
Inpaint local size 64, image size 64. Process: [6000/30000 (20.00%)]	Loss: 0.105695
Inpaint local size 64, image size 128. Process: [5952/30000 (4.96%)]	Loss: 0.107818
Inpaint local size 64, image size 64. Process: [6048/30000 (20.16%)]	Loss: 0.116017
Inpaint local size 64, image size 128. Process: [6000/30000 (5.00%)]	Loss: 0.119829
Inpaint local size 64, image size 64. Process: [6096/30000 (20.32%)]	Loss: 0.102668
Inpaint local size 64, image size 128. Process: [6048/30000 (5.04%)]	Loss: 0.106051
Inpaint local size 64, image size 64. Process: [6144/30000 (20.48%)]	Loss: 0.102407
Inpaint local size 64, image size 128. Process: [6096/30000 (5.08%)]	Loss: 0.099484
Inpaint local size 64, image size 64. Process: [6192/30000 (20.64%)]	Loss: 0.103745
Inpaint local size 64, image size 128. Process: [6144/30000 (5.12%)]	Loss: 0.096597
Inpaint local size 64, image size 64. Process: [6240/30000 (20.80%)]	Loss: 0.101675
Inpaint local size 64, image size 128. Process: [6192/30000 (5.16%)]	Loss: 0.102317
Inpaint local size 64, image size 128. Process: [6240/30000 (5.20%)]	Loss: 0.114052
Inpaint local size 64, image size 64. Process: [6288/30000 (20.96%)]	Loss: 0.109418
Inpaint local size 64, image size 64. Process: [6336/30000 (21.12%)]	Loss: 0.100476
Inpaint local size 64, image size 128. Process: [6288/30000 (5.24%)]	Loss: 0.124631
Inpaint local size 64, image size 64. Process: [6384/30000 (21.28%)]	Loss: 0.101952
Inpaint local size 64, image size 128. Process: [6336/30000 (5.28%)]	Loss: 0.105341
Inpaint local size 64, image size 64. Process: [6432/30000 (21.44%)]	Loss: 0.103764
Inpaint local size 64, image size 128. Process: [6384/30000 (5.32%)]	Loss: 0.118669
Inpaint local size 64, image size 128. Process: [6432/30000 (5.36%)]	Loss: 0.122370
Inpaint local size 64, image size 64. Process: [6480/30000 (21.60%)]	Loss: 0.116184
